Feature,Importance,Percentage,Cumulative_Percentage
cook_temp,0.40954936,40.95%,40.95%
diameter,0.15122913,15.12%,56.08%
cook_temp_time_interaction,0.13343683,13.34%,69.42%
color,0.10031286,10.03%,79.45%
cook_time,0.076406024,7.64%,87.09%
thickness,0.052093647,5.21%,92.30%
moisture,0.016939554,1.69%,94.00%
moisture_2,0.016507965,1.65%,95.65%
final_moisture,0.009010206,0.90%,96.55%
color_final,0.0040157894,0.40%,96.95%
drying_speed_1,0.0038074295,0.38%,97.33%
drying_temp_time_interaction_2,0.003080676,0.31%,97.64%
drying_temp_1,0.0027096288,0.27%,97.91%
conveyor_speed,0.0022850703,0.23%,98.14%
sugar,0.002126688,0.21%,98.35%
flaking_rolls_speed,0.0019056895,0.19%,98.54%
drying_speed_2,0.0017305032,0.17%,98.71%
drying_temp_2,0.0017097181,0.17%,98.89%
coating_flow,0.0016410707,0.16%,99.05%
drying_time_1,0.0016370991,0.16%,99.21%
drying_time_2,0.0014030744,0.14%,99.35%
flaking_interaction,0.0013547298,0.14%,99.49%
drying_temp_time_interaction_1,0.0011903985,0.12%,99.61%
vitamins,0.0011315597,0.11%,99.72%
cooker_speed,0.0011000612,0.11%,99.83%
coating_interaction,0.0009909072,0.10%,99.93%
flaking_rolls_gap,0.00069434504,0.07%,100.00%
