Parameter,Current,Optimized,Absolute_Change,Percent_Change
cook_temp,476.378817522602,476.3128931967349,-0.06592432586711539,-0.013838635019490047
cook_time,24.57120574268044,24.442311307307687,-0.1288944353727537,-0.5245751336852905
cooker_speed,46.58366651391087,46.5452611832374,-0.03840533067346996,-0.08244376956030569
drying_temp_1,254.30259627582467,254.2839852258,-0.018611050024674114,-0.007318466385017941
drying_time_1,10.129589893026989,10.069250156635922,-0.06033973639106627,-0.5956779793484331
drying_speed_1,423.9494309802095,423.9385578549525,-0.010873125257035099,-0.002564722219792924
flaking_rolls_gap,1.979430594907354,2.0676257496899084,0.08819515478255435,4.455582075444391
flaking_rolls_speed,297.06395188179334,296.97909705900383,-0.0848548227895094,-0.02856449671930391
coating_flow,1.8915740379279955,1.612869989216052,-0.27870404871194343,-14.733975151045742
conveyor_speed,407.75567980136606,407.7496759844623,-0.006003816903728421,-0.0014724054626665452
drying_temp_2,249.59037190498643,249.4156709543726,-0.17470095061383972,-0.0699950680310475
drying_time_2,10.87426391145813,10.86635179669803,-0.007912114760099342,-0.07276000310938202
drying_speed_2,395.1731010364849,395.1458724188826,-0.02722861760230444,-0.006890301371952571
moisture,25.62947580785332,25.68758778727323,0.05811197941990898,0.2267388527786528
color,5.225131378525172,5.114698496989104,-0.11043288153606845,-2.113494829813042
moisture_2,24.897368513804928,24.935770216136163,0.0384017023312353,0.15424000456089398
thickness,0.7441107367034578,0.8983043216867308,0.15419358498327296,20.72185998368708
diameter,6.3817647262179,6.503719760846036,0.12195503462813662,1.910992333000221
final_moisture,18.421673876037875,18.420620460629028,-0.0010534154088475134,-0.005718347941322265
sugar,39.19846297457436,39.12831418245637,-0.07014879211799041,-0.1789580172148373
vitamins,9.54405646766434,9.398808036666718,-0.14524843099762208,-1.5218731310918978
color_final,5.05267424710259,5.248109979299649,0.19543573219705923,3.8679662024348804
cook_temp_time_interaction,11705.201936802676,11705.324249924917,0.12231312224139401,0.0010449467074705107
drying_temp_time_interaction_1,2575.9810090061164,2576.004440804189,0.023431798072579113,0.0009096261964143804
drying_temp_time_interaction_2,2714.111573853807,2714.139440573462,0.027866719654866756,0.0010267344910695176
flaking_interaction,588.0174749989078,588.0089506412373,-0.008524357670466998,-0.0014496776087280113
coating_interaction,771.3000577299448,771.2765761861161,-0.023481543828665963,-0.003044411003646982
